query_id,page_id,coarse_rank,coarse_score,fine_rank,fine_score,page_tokens_before,page_tokens_after
q001,doc004_p019,16,7.05589500,1,1.03028965,49,16
q001,doc006_p013,3,11.74067500,2,0.95624828,49,16
q001,doc009_p003,17,7.03525500,3,0.94548434,49,16
q001,doc003_p004,8,7.48106200,4,0.91370273,49,16
q001,doc006_p016,20,6.96758700,5,0.86245948,49,16
q001,doc010_p002,18,7.00748000,6,0.82680643,49,16
q001,doc005_p004,13,7.16875400,7,0.80362451,49,16
q001,doc007_p001,12,7.18752500,8,0.80232751,49,16
q001,doc005_p006,19,6.97912500,9,0.79128146,49,16
q001,doc006_p009,7,7.66040700,10,0.77192104,49,16
q001,doc003_p003,6,9.23528300,11,0.75313109,49,16
q001,doc006_p003,5,9.28121700,12,0.75170130,49,16
q001,doc006_p019,1,15.05430200,13,0.64832550,49,16
q001,doc005_p009,9,7.45509900,14,0.49734560,49,16
q001,doc001_p002,15,7.07261200,15,0.34494674,49,16
q001,doc001_p001,2,13.69148500,16,0.20652869,49,16
q001,doc001_p005,11,7.20829400,17,-0.00767044,49,16
q001,doc010_p001,14,7.13687100,18,-0.04190947,49,16
q001,doc001_p004,4,9.66284400,19,-0.06753711,49,16
q001,doc002_p001,10,7.24297300,20,-0.08686033,49,16
q002,doc004_p003,16,6.21405800,1,-0.05442091,49,16
q002,doc006_p013,4,8.99068500,2,-0.05786713,49,16
q002,doc004_p019,18,6.10186400,3,-0.06387153,49,16
q002,doc004_p010,19,5.60657400,4,-0.08604757,49,16
q002,doc001_p002,2,11.74635400,5,-0.11717980,49,16
q002,doc009_p003,9,7.03525500,6,-0.13392673,49,16
q002,doc006_p016,11,6.96758700,7,-0.20025341,49,16
q002,doc006_p002,15,6.29075800,8,-0.21392064,49,16
q002,doc006_p003,8,7.42036200,9,-0.22938688,49,16
q002,doc010_p002,10,7.00748000,10,-0.24897419,49,16
q002,doc004_p014,14,6.51815400,11,-0.28518763,49,16
q002,doc006_p009,6,7.66040700,12,-0.29644537,49,16
q002,doc003_p003,12,6.81874500,13,-0.30816683,49,16
q002,doc005_p009,7,7.45509900,14,-0.42610583,49,16
q002,doc006_p019,3,10.97743200,15,-0.56013554,49,16
q002,doc006_p006,13,6.74361900,16,-0.57753730,49,16
q002,doc007_p002,20,5.60572000,17,-0.68515950,49,16
q002,doc002_p001,17,6.19127200,18,-0.76395345,49,16
q002,doc001_p001,1,13.51309900,19,-0.79774874,49,16
q002,doc001_p005,5,8.43588400,20,-0.84669155,49,16
q003,doc004_p010,9,7.24552500,1,-0.22715713,49,16
q003,doc006_p013,5,8.60126400,2,-0.25322777,49,16
q003,doc006_p016,19,5.29084000,3,-0.26811945,49,16
q003,doc003_p004,13,5.91425700,4,-0.30933374,49,16
q003,doc005_p006,11,7.09094600,5,-0.31470060,49,16
q003,doc010_p002,14,5.66062600,6,-0.32946819,49,16
q003,doc005_p003,17,5.37165000,7,-0.38408926,49,16
q003,doc004_p015,20,5.26706400,8,-0.40001607,49,16
q003,doc005_p004,10,7.19721400,9,-0.41279769,49,16
q003,doc006_p009,7,7.66040700,10,-0.41544551,49,16
q003,doc005_p002,12,6.18009500,11,-0.41559738,49,16
q003,doc005_p001,6,8.49916200,12,-0.43749335,49,16
q003,doc006_p005,16,5.41287100,13,-0.53706896,49,16
q003,doc005_p009,8,7.30062400,14,-0.54366100,49,16
q003,doc006_p011,4,8.79135200,15,-0.62053323,49,16
q003,doc006_p006,18,5.37004500,16,-0.64545518,49,16
q003,doc006_p019,2,10.99652200,17,-0.73600423,49,16
q003,doc002_p001,1,12.80303800,18,-0.88942504,49,16
q003,doc007_p002,3,9.36951200,19,-0.89216763,49,16
q003,doc001_p004,15,5.44353600,20,-1.03345203,49,16
q004,doc004_p010,5,9.55820400,1,0.60952044,49,16
q004,doc006_p008,20,8.45214500,2,0.58182144,49,16
q004,doc006_p013,7,9.39821500,3,0.53394157,49,16
q004,doc005_p004,4,9.72703000,4,0.53353667,49,16
q004,doc003_p004,11,9.24970700,5,0.51730156,49,16
q004,doc004_p003,19,8.51551100,6,0.50900334,49,16
q004,doc004_p019,13,9.16508000,7,0.46919084,49,16
q004,doc006_p016,18,8.65834300,8,0.43060720,49,16
q004,doc003_p028,16,8.81521000,9,0.41739926,49,16
q004,doc005_p006,9,9.37516900,10,0.41289163,49,16
q004,doc007_p001,12,9.24594900,11,0.33939493,49,16
q004,doc006_p003,3,11.00130000,12,0.32648900,49,16
q004,doc004_p014,17,8.77428200,13,0.30676135,49,16
q004,doc005_p009,14,9.10872000,14,0.26751137,49,16
q004,doc006_p005,15,8.90949000,15,0.26164818,49,16
q004,doc006_p014,6,9.48878600,16,0.24364051,49,16
q004,doc006_p026,10,9.30672600,17,0.17069460,49,16
q004,doc006_p019,2,14.14775100,18,0.10947824,49,16
q004,doc001_p004,1,22.94494800,19,-0.23865373,49,16
q004,doc010_p001,8,9.37579000,20,-0.35459712,49,16
q005,doc004_p010,7,7.37560800,1,0.11573046,49,16
q005,doc006_p013,3,8.82913600,2,0.09750390,49,16
q005,doc005_p006,12,6.35498400,3,0.07960498,49,16
q005,doc005_p004,18,5.42532900,4,0.07629411,49,16
q005,doc010_p002,8,7.00748000,5,0.04678657,49,16
q005,doc004_p016,11,6.48717500,6,0.00709417,49,16
q005,doc005_p001,13,6.20318800,7,0.00625004,49,16
q005,doc006_p009,14,6.14343900,8,-0.04194482,49,16
q005,doc006_p007,15,5.99741800,9,-0.06492918,49,16
q005,doc004_p015,20,5.36289200,10,-0.07487408,49,16
q005,doc006_p005,17,5.53840300,11,-0.10790203,49,16
q005,doc001_p002,9,6.86349700,12,-0.13424058,49,16
q005,doc005_p009,10,6.54416000,13,-0.15451474,49,16
q005,doc006_p011,4,8.73971900,14,-0.22420382,49,16
q005,doc006_p019,2,10.53370100,15,-0.28530312,49,16
q005,doc006_p026,1,12.23456400,16,-0.30840224,49,16
q005,doc007_p002,5,8.02633200,17,-0.37528327,49,16
