query_id,page_id,coarse_rank,coarse_score,fine_rank,fine_score
q001,doc004_p019,16,7.05589500,1,1.23282230
q001,doc006_p013,3,11.74067500,2,1.03309250
q001,doc003_p004,8,7.48106200,3,1.01229644
q001,doc001_p002,15,7.07261200,4,0.99378622
q001,doc009_p003,17,7.03525500,5,0.98625076
q001,doc006_p016,20,6.96758700,6,0.98228097
q001,doc006_p019,1,15.05430200,7,0.97452557
q001,doc005_p009,9,7.45509900,8,0.97065830
q001,doc005_p006,19,6.97912500,9,0.96540755
q001,doc003_p003,6,9.23528300,10,0.91428292
q001,doc006_p009,7,7.66040700,11,0.90707636
q001,doc010_p002,18,7.00748000,12,0.86175323
q001,doc005_p004,13,7.16875400,13,0.85756505
q001,doc007_p001,12,7.18752500,14,0.82978302
q001,doc006_p003,5,9.28121700,15,0.81212556
q001,doc001_p004,4,9.66284400,16,0.77127963
q001,doc001_p005,11,7.20829400,17,0.74928939
q001,doc010_p001,14,7.13687100,18,0.68781722
q001,doc002_p001,10,7.24297300,19,0.57416475
q001,doc001_p001,2,13.69148500,20,0.33672112
q002,doc001_p002,2,11.74635400,1,0.50915086
q002,doc006_p013,4,8.99068500,2,0.20099561
q002,doc006_p019,3,10.97743200,3,0.15394033
q002,doc004_p014,14,6.51815400,4,0.13866320
q002,doc004_p019,18,6.10186400,5,0.02226370
q002,doc004_p010,19,5.60657400,6,0.01818884
q002,doc004_p003,16,6.21405800,7,0.01752375
q002,doc006_p002,15,6.29075800,8,-0.06311381
q002,doc006_p016,11,6.96758700,9,-0.10299900
q002,doc009_p003,9,7.03525500,10,-0.10809001
q002,doc003_p003,12,6.81874500,11,-0.11045206
q002,doc006_p009,6,7.66040700,12,-0.11119193
q002,doc006_p003,8,7.42036200,13,-0.13996091
q002,doc005_p009,7,7.45509900,14,-0.16305214
q002,doc010_p002,10,7.00748000,15,-0.21370851
q002,doc006_p006,13,6.74361900,16,-0.24669106
q002,doc007_p002,20,5.60572000,17,-0.27982736
q002,doc001_p005,5,8.43588400,18,-0.30079967
q002,doc002_p001,17,6.19127200,19,-0.34836042
q002,doc001_p001,1,13.51309900,20,-0.58200812
q003,doc005_p006,11,7.09094600,1,-0.12977339
q003,doc004_p010,9,7.24552500,2,-0.13141218
q003,doc006_p013,5,8.60126400,3,-0.17107475
q003,doc004_p015,20,5.26706400,4,-0.21938136
q003,doc006_p009,7,7.66040700,5,-0.22645813
q003,doc006_p016,19,5.29084000,6,-0.23922959
q003,doc003_p004,13,5.91425700,7,-0.26708820
q003,doc006_p019,2,10.99652200,8,-0.27072459
q003,doc005_p003,17,5.37165000,9,-0.28768730
q003,doc010_p002,14,5.66062600,10,-0.30982089
q003,doc005_p009,8,7.30062400,11,-0.31239980
q003,doc006_p006,18,5.37004500,12,-0.32959658
q003,doc005_p004,10,7.19721400,13,-0.33205265
q003,doc007_p002,3,9.36951200,14,-0.35004523
q003,doc005_p001,6,8.49916200,15,-0.36825460
q003,doc006_p005,16,5.41287100,16,-0.37495473
q003,doc006_p011,4,8.79135200,17,-0.41315076
q003,doc005_p002,12,6.18009500,18,-0.41343707
q003,doc001_p004,15,5.44353600,19,-0.49017495
q003,doc002_p001,1,12.80303800,20,-0.77251554
q004,doc005_p006,9,9.37516900,1,0.68070972
q004,doc004_p003,19,8.51551100,2,0.65677822
q004,doc004_p010,5,9.55820400,3,0.65170664
q004,doc006_p013,7,9.39821500,4,0.64423549
q004,doc006_p008,20,8.45214500,5,0.61011249
q004,doc005_p004,4,9.72703000,6,0.59865052
q004,doc004_p019,13,9.16508000,7,0.59176099
q004,doc004_p014,17,8.77428200,8,0.57786024
q004,doc003_p004,11,9.24970700,9,0.57671452
q004,doc006_p016,18,8.65834300,10,0.54423702
q004,doc003_p028,16,8.81521000,11,0.53747708
q004,doc006_p019,2,14.14775100,12,0.51159340
q004,doc005_p009,14,9.10872000,13,0.50054997
q004,doc006_p005,15,8.90949000,14,0.46169600
q004,doc006_p026,10,9.30672600,15,0.42130256
