query_id,page_id,coarse_rank,coarse_score,fine_rank,fine_score
q001,doc004_p019,16,7.05589500,1,1.23282230
q001,doc006_p008,36,5.43510700,2,1.07069719
q001,doc003_p028,38,5.02680900,3,1.07011628
q001,doc004_p015,26,6.32265300,4,1.05938816
q001,doc004_p016,42,4.56373600,5,1.03367424
q001,doc006_p013,3,11.74067500,6,1.03309250
q001,doc006_p002,27,6.29075800,7,1.02268279
q001,doc003_p004,8,7.48106200,8,1.01229644
q001,doc004_p003,28,6.21405800,9,1.00560760
q001,doc001_p002,15,7.07261200,10,0.99378622
q001,doc009_p003,17,7.03525500,11,0.98625076
q001,doc004_p005,48,3.10327600,12,0.98230082
q001,doc006_p016,20,6.96758700,13,0.98228097
q001,doc006_p019,1,15.05430200,14,0.97452557
q001,doc005_p009,9,7.45509900,15,0.97065830
q001,doc005_p003,37,5.37841300,16,0.96944505
q001,doc005_p006,19,6.97912500,17,0.96540755
q001,doc003_p021,31,5.85077200,18,0.96106029
q001,doc004_p018,46,3.89828100,19,0.95653301
q001,doc004_p010,33,5.60657400,20,0.95355850
q001,doc004_p009,40,4.88125000,21,0.92304498
q001,doc006_p012,47,3.40451300,22,0.91472721
q001,doc003_p003,6,9.23528300,23,0.91428292
q001,doc006_p009,7,7.66040700,24,0.90707636
q001,doc006_p010,45,3.99528800,25,0.87383735
q001,doc006_p004,41,4.68427600,26,0.86228174
q001,doc010_p002,18,7.00748000,27,0.86175323
q001,doc005_p004,13,7.16875400,28,0.85756505
q001,doc004_p014,25,6.51815400,29,0.85676211
q001,doc007_p002,34,5.60572000,30,0.84466016
q001,doc005_p002,50,3.02915800,31,0.84274089
q001,doc006_p026,23,6.63891800,32,0.83700591
q001,doc006_p006,22,6.74361900,33,0.83383554
q001,doc004_p013,43,4.51841100,34,0.83027571
q001,doc007_p001,12,7.18752500,35,0.82978302
q001,doc005_p001,35,5.44825800,36,0.82559609
q001,doc006_p005,30,5.97722600,37,0.82266188
q001,doc006_p003,5,9.28121700,38,0.81212556
q001,doc003_p001,49,3.09011000,39,0.77535468
q001,doc006_p011,39,4.91621300,40,0.77195990
q001,doc001_p004,4,9.66284400,41,0.77127963
q001,doc006_p007,32,5.75124000,42,0.76305568
q001,doc001_p005,11,7.20829400,43,0.74928939
q001,doc006_p015,24,6.58028900,44,0.74079651
q001,doc006_p027,44,4.01557900,45,0.71347523
q001,doc010_p001,14,7.13687100,46,0.68781722
q001,doc006_p014,29,5.98329900,47,0.66976666
q001,doc002_p001,10,7.24297300,48,0.57416475
q001,doc001_p001,2,13.69148500,49,0.33672112
q001,doc001_p003,21,6.87130300,50,0.26402420
q002,doc001_p002,2,11.74635400,1,0.50915086
q002,doc006_p013,4,8.99068500,2,0.20099561
q002,doc006_p019,3,10.97743200,3,0.15394033
q002,doc004_p016,31,4.56373600,4,0.14923041
q002,doc004_p014,14,6.51815400,5,0.13866320
q002,doc005_p006,21,5.52410400,6,0.05762499
q002,doc004_p013,32,4.51841100,7,0.04324809
q002,doc005_p004,33,4.23015200,8,0.03784160
q002,doc004_p005,44,3.10327600,9,0.02252713
q002,doc004_p019,18,6.10186400,10,0.02226370
q002,doc004_p010,19,5.60657400,11,0.01818884
q002,doc004_p003,16,6.21405800,12,0.01752375
q002,doc003_p021,40,3.55767900,13,-0.03319685
q002,doc004_p009,27,4.88125000,14,-0.05655209
