run_name	query_id	page_id	rank	score
hybrid_budgetmv_N50_M24_alpha0p0	q001	doc006_p008	1	0.99999999
hybrid_budgetmv_N50_M24_alpha0p0	q001	doc004_p019	2	0.96288715
hybrid_budgetmv_N50_M24_alpha0p0	q001	doc006_p002	3	0.95139504
hybrid_budgetmv_N50_M24_alpha0p0	q001	doc004_p005	4	0.90715719
hybrid_budgetmv_N50_M24_alpha0p0	q001	doc003_p028	5	0.90598510
hybrid_budgetmv_N50_M24_alpha0p0	q001	doc005_p006	6	0.90209123
hybrid_budgetmv_N50_M24_alpha0p0	q001	doc006_p013	7	0.90058917
hybrid_budgetmv_N50_M24_alpha0p0	q001	doc004_p003	8	0.89911912
hybrid_budgetmv_N50_M24_alpha0p0	q001	doc009_p003	9	0.88342266
hybrid_budgetmv_N50_M24_alpha0p0	q001	doc003_p004	10	0.85870404
hybrid_budgetmv_N50_M24_alpha0p0	q002	doc005_p006	1	0.99999999
hybrid_budgetmv_N50_M24_alpha0p0	q002	doc004_p014	2	0.96365617
hybrid_budgetmv_N50_M24_alpha0p0	q002	doc004_p005	3	0.94282542
hybrid_budgetmv_N50_M24_alpha0p0	q002	doc006_p013	4	0.89449694
hybrid_budgetmv_N50_M24_alpha0p0	q002	doc004_p003	5	0.87894289
hybrid_budgetmv_N50_M24_alpha0p0	q002	doc004_p019	6	0.85520474
hybrid_budgetmv_N50_M24_alpha0p0	q002	doc004_p010	7	0.84425596
hybrid_budgetmv_N50_M24_alpha0p0	q002	doc004_p009	8	0.82799217
hybrid_budgetmv_N50_M24_alpha0p0	q002	doc006_p002	9	0.80776259
hybrid_budgetmv_N50_M24_alpha0p0	q002	doc005_p002	10	0.80097433
hybrid_budgetmv_N50_M24_alpha0p0	q003	doc005_p006	1	0.99999999
hybrid_budgetmv_N50_M24_alpha0p0	q003	doc004_p010	2	0.90176265
hybrid_budgetmv_N50_M24_alpha0p0	q003	doc006_p016	3	0.87668530
hybrid_budgetmv_N50_M24_alpha0p0	q003	doc006_p013	4	0.87546330
hybrid_budgetmv_N50_M24_alpha0p0	q003	doc003_p021	5	0.85984282
hybrid_budgetmv_N50_M24_alpha0p0	q003	doc004_p003	6	0.84263416
hybrid_budgetmv_N50_M24_alpha0p0	q003	doc009_p003	7	0.83499949
hybrid_budgetmv_N50_M24_alpha0p0	q003	doc004_p016	8	0.83247087
hybrid_budgetmv_N50_M24_alpha0p0	q003	doc004_p009	9	0.82569581
hybrid_budgetmv_N50_M24_alpha0p0	q003	doc003_p004	10	0.82354786
hybrid_budgetmv_N50_M24_alpha0p0	q004	doc005_p006	1	0.99999999
hybrid_budgetmv_N50_M24_alpha0p0	q004	doc004_p005	2	0.99451148
hybrid_budgetmv_N50_M24_alpha0p0	q004	doc004_p009	3	0.95866295
hybrid_budgetmv_N50_M24_alpha0p0	q004	doc004_p018	4	0.94799740
hybrid_budgetmv_N50_M24_alpha0p0	q004	doc004_p010	5	0.93236373
hybrid_budgetmv_N50_M24_alpha0p0	q004	doc006_p008	6	0.92049125
hybrid_budgetmv_N50_M24_alpha0p0	q004	doc005_p004	7	0.85403857
hybrid_budgetmv_N50_M24_alpha0p0	q004	doc006_p013	8	0.84238877
hybrid_budgetmv_N50_M24_alpha0p0	q004	doc004_p016	9	0.84025768
hybrid_budgetmv_N50_M24_alpha0p0	q004	doc009_p003	10	0.83338013
hybrid_budgetmv_N50_M24_alpha0p0	q005	doc005_p006	1	0.99999999
hybrid_budgetmv_N50_M24_alpha0p0	q005	doc004_p005	2	0.97885090
