query_id,page_id,score,run_name,compression,query_file,page_file
q001,doc003_p004,0.3414608836174011,w6_N10_M16_ivf_opq_pq,IVF+OPQ+PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M16_ivf_opq_pq\doc003_p004.npy
q001,doc001_p004,-0.17455965280532837,w6_N10_M16_ivf_opq_pq,IVF+OPQ+PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M16_ivf_opq_pq\doc001_p004.npy
q001,doc006_p008,0.33883577585220337,w6_N10_M16_ivf_opq_pq,IVF+OPQ+PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M16_ivf_opq_pq\doc006_p008.npy
q001,doc008_p001,0.4451514184474945,w6_N10_M16_ivf_opq_pq,IVF+OPQ+PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M16_ivf_opq_pq\doc008_p001.npy
q001,doc001_p003,-0.49927079677581787,w6_N10_M16_ivf_opq_pq,IVF+OPQ+PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M16_ivf_opq_pq\doc001_p003.npy
q001,doc001_p001,-0.08454100787639618,w6_N10_M16_ivf_opq_pq,IVF+OPQ+PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M16_ivf_opq_pq\doc001_p001.npy
q001,doc009_p001,-0.20621375739574432,w6_N10_M16_ivf_opq_pq,IVF+OPQ+PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M16_ivf_opq_pq\doc009_p001.npy
q001,doc006_p019,0.2123066782951355,w6_N10_M16_ivf_opq_pq,IVF+OPQ+PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M16_ivf_opq_pq\doc006_p019.npy
q001,doc008_p002,-0.45756787061691284,w6_N10_M16_ivf_opq_pq,IVF+OPQ+PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M16_ivf_opq_pq\doc008_p002.npy
q001,doc006_p027,0.48768991231918335,w6_N10_M16_ivf_opq_pq,IVF+OPQ+PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M16_ivf_opq_pq\doc006_p027.npy
