query_id,page_id,score,run_name,compression,query_file,page_file
q001,doc003_p004,0.3491972088813782,w6_N10_M16_ivf_pq,IVF+PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M16_ivf_pq\doc003_p004.npy
q001,doc001_p004,-0.28030362725257874,w6_N10_M16_ivf_pq,IVF+PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M16_ivf_pq\doc001_p004.npy
q001,doc006_p008,0.5795870423316956,w6_N10_M16_ivf_pq,IVF+PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M16_ivf_pq\doc006_p008.npy
q001,doc008_p001,0.38406649231910706,w6_N10_M16_ivf_pq,IVF+PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M16_ivf_pq\doc008_p001.npy
q001,doc001_p003,-0.5437820553779602,w6_N10_M16_ivf_pq,IVF+PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M16_ivf_pq\doc001_p003.npy
q001,doc001_p001,0.016070201992988586,w6_N10_M16_ivf_pq,IVF+PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M16_ivf_pq\doc001_p001.npy
q001,doc009_p001,-0.3529604971408844,w6_N10_M16_ivf_pq,IVF+PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M16_ivf_pq\doc009_p001.npy
q001,doc006_p019,0.2423233687877655,w6_N10_M16_ivf_pq,IVF+PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M16_ivf_pq\doc006_p019.npy
q001,doc008_p002,-0.4215567409992218,w6_N10_M16_ivf_pq,IVF+PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M16_ivf_pq\doc008_p002.npy
q001,doc006_p027,0.5129899978637695,w6_N10_M16_ivf_pq,IVF+PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M16_ivf_pq\doc006_p027.npy
