query_id,page_id,score,run_name,compression,query_file,page_file
q001,doc003_p004,0.2136363834142685,w6_N10_M8_opq_pq,OPQ+PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M8_opq_pq\doc003_p004.npy
q001,doc001_p004,-0.24117223918437958,w6_N10_M8_opq_pq,OPQ+PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M8_opq_pq\doc001_p004.npy
q001,doc006_p008,-0.2369995266199112,w6_N10_M8_opq_pq,OPQ+PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M8_opq_pq\doc006_p008.npy
q001,doc008_p001,0.3495301604270935,w6_N10_M8_opq_pq,OPQ+PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M8_opq_pq\doc008_p001.npy
q001,doc001_p003,-0.5295311212539673,w6_N10_M8_opq_pq,OPQ+PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M8_opq_pq\doc001_p003.npy
q001,doc001_p001,-0.03522805869579315,w6_N10_M8_opq_pq,OPQ+PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M8_opq_pq\doc001_p001.npy
q001,doc009_p001,-0.40609806776046753,w6_N10_M8_opq_pq,OPQ+PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M8_opq_pq\doc009_p001.npy
q001,doc006_p019,-0.07965672016143799,w6_N10_M8_opq_pq,OPQ+PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M8_opq_pq\doc006_p019.npy
q001,doc008_p002,-0.5099067091941833,w6_N10_M8_opq_pq,OPQ+PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M8_opq_pq\doc008_p002.npy
q001,doc006_p027,0.34953004121780396,w6_N10_M8_opq_pq,OPQ+PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M8_opq_pq\doc006_p027.npy
q002,doc006_p010,-0.6793995499610901,w6_N10_M8_opq_pq,OPQ+PQ,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M8_opq_pq\doc006_p010.npy
q002,doc004_p009,-0.8958425521850586,w6_N10_M8_opq_pq,OPQ+PQ,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M8_opq_pq\doc004_p009.npy
q002,doc004_p010,-0.8915106058120728,w6_N10_M8_opq_pq,OPQ+PQ,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M8_opq_pq\doc004_p010.npy
q002,doc006_p020,-0.6948252320289612,w6_N10_M8_opq_pq,OPQ+PQ,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M8_opq_pq\doc006_p020.npy
q002,doc006_p013,-1.0590741634368896,w6_N10_M8_opq_pq,OPQ+PQ,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M8_opq_pq\doc006_p013.npy
