query_id,page_id,score,run_name,bits,query_file,page_file
q001,doc003_p004,0.596167802810669,w6_N10_M24_pq_b8,8,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b8\doc003_p004.npy
q001,doc001_p004,0.631384015083313,w6_N10_M24_pq_b8,8,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b8\doc001_p004.npy
q001,doc006_p008,0.8274029493331909,w6_N10_M24_pq_b8,8,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b8\doc006_p008.npy
q001,doc008_p001,0.4108876883983612,w6_N10_M24_pq_b8,8,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b8\doc008_p001.npy
q001,doc001_p003,-0.2374543994665146,w6_N10_M24_pq_b8,8,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b8\doc001_p003.npy
q001,doc001_p001,0.11105644702911377,w6_N10_M24_pq_b8,8,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b8\doc001_p001.npy
q001,doc009_p001,-0.16169743239879608,w6_N10_M24_pq_b8,8,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b8\doc009_p001.npy
q001,doc006_p019,0.5685843825340271,w6_N10_M24_pq_b8,8,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b8\doc006_p019.npy
q001,doc008_p002,-0.2474939227104187,w6_N10_M24_pq_b8,8,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b8\doc008_p002.npy
q001,doc006_p027,0.6622705459594727,w6_N10_M24_pq_b8,8,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b8\doc006_p027.npy
q002,doc006_p010,-0.5355308055877686,w6_N10_M24_pq_b8,8,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b8\doc006_p010.npy
q002,doc004_p009,-0.5853726267814636,w6_N10_M24_pq_b8,8,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b8\doc004_p009.npy
q002,doc004_p010,-0.17257758975028992,w6_N10_M24_pq_b8,8,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b8\doc004_p010.npy
q002,doc006_p020,-0.658955991268158,w6_N10_M24_pq_b8,8,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b8\doc006_p020.npy
q002,doc006_p013,-0.23609641194343567,w6_N10_M24_pq_b8,8,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b8\doc006_p013.npy
q002,doc006_p012,-0.5648190975189209,w6_N10_M24_pq_b8,8,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b8\doc006_p012.npy
q002,doc007_p001,-0.7616401314735413,w6_N10_M24_pq_b8,8,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b8\doc007_p001.npy
q002,doc006_p021,-0.6049391031265259,w6_N10_M24_pq_b8,8,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b8\doc006_p021.npy
q002,doc003_p022,-0.7411510348320007,w6_N10_M24_pq_b8,8,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b8\doc003_p022.npy
q002,doc001_p002,-0.47152775526046753,w6_N10_M24_pq_b8,8,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b8\doc001_p002.npy
q003,doc006_p010,-0.6871479153633118,w6_N10_M24_pq_b8,8,artifacts\embeddings\full_multivector\queries\q003.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b8\doc006_p010.npy
