query_id,page_id,score,run_name,bits,query_file,page_file
q001,doc003_p004,0.3634907305240631,w6_N10_M24_pq_b2,2,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b2\doc003_p004.npy
q001,doc001_p004,0.3033648431301117,w6_N10_M24_pq_b2,2,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b2\doc001_p004.npy
q001,doc006_p008,0.3634907305240631,w6_N10_M24_pq_b2,2,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b2\doc006_p008.npy
q001,doc008_p001,0.3033648729324341,w6_N10_M24_pq_b2,2,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b2\doc008_p001.npy
q001,doc001_p003,-0.20183385908603668,w6_N10_M24_pq_b2,2,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b2\doc001_p003.npy
q001,doc001_p001,0.3033648431301117,w6_N10_M24_pq_b2,2,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b2\doc001_p001.npy
q001,doc009_p001,-0.3654176890850067,w6_N10_M24_pq_b2,2,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b2\doc009_p001.npy
q001,doc006_p019,0.3634907305240631,w6_N10_M24_pq_b2,2,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b2\doc006_p019.npy
q001,doc008_p002,-0.33014848828315735,w6_N10_M24_pq_b2,2,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b2\doc008_p002.npy
q001,doc006_p027,0.3033648133277893,w6_N10_M24_pq_b2,2,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b2\doc006_p027.npy
q002,doc006_p010,-0.7403581738471985,w6_N10_M24_pq_b2,2,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b2\doc006_p010.npy
q002,doc004_p009,-0.7584176659584045,w6_N10_M24_pq_b2,2,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b2\doc004_p009.npy
q002,doc004_p010,-0.7583264112472534,w6_N10_M24_pq_b2,2,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b2\doc004_p010.npy
q002,doc006_p020,-0.7578824162483215,w6_N10_M24_pq_b2,2,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b2\doc006_p020.npy
q002,doc006_p013,-0.7176262736320496,w6_N10_M24_pq_b2,2,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b2\doc006_p013.npy
q002,doc006_p012,-0.7199233174324036,w6_N10_M24_pq_b2,2,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b2\doc006_p012.npy
q002,doc007_p001,-1.1211230754852295,w6_N10_M24_pq_b2,2,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M24_pq_b2\doc007_p001.npy
