query_id,page_id,coarse_rank,coarse_score,fine_rank,fine_score,bm25_score_raw,mv_score_raw,bm25_score_norm,mv_score_norm,query_bm25_min,query_bm25_max,query_mv_min,query_mv_max,page_tokens_before,page_tokens_after
q001,doc004_p019,16,7.05589500,1,1.03028953,7.05589500,1.03028953,0.01092013,0.99999999,6.96758700,15.05430200,-0.65534246,1.03028953,49,8
q001,doc006_p013,3,11.74067500,2,0.95624828,11.74067500,0.95624828,0.59023819,0.95607507,6.96758700,15.05430200,-0.65534246,1.03028953,49,8
q001,doc009_p003,17,7.03525500,3,0.94548434,7.03525500,0.94548434,0.00836780,0.94968937,6.96758700,15.05430200,-0.65534246,1.03028953,49,8
q001,doc003_p004,8,7.48106200,4,0.90174890,7.48106200,0.90174890,0.06349612,0.92374336,6.96758700,15.05430200,-0.65534246,1.03028953,49,8
q001,doc006_p016,20,6.96758700,5,0.86136496,6.96758700,0.86136496,0.00000000,0.89978561,6.96758700,15.05430200,-0.65534246,1.03028953,49,8
q001,doc010_p002,18,7.00748000,6,0.82608843,7.00748000,0.82608843,0.00493315,0.87885783,6.96758700,15.05430200,-0.65534246,1.03028953,49,8
q001,doc005_p004,13,7.16875400,7,0.80362457,7.16875400,0.80362457,0.02487623,0.86553117,6.96758700,15.05430200,-0.65534246,1.03028953,49,8
q001,doc007_p001,12,7.18752500,8,0.80232739,7.18752500,0.80232739,0.02719745,0.86476161,6.96758700,15.05430200,-0.65534246,1.03028953,49,8
q001,doc003_p003,6,9.23528300,9,0.75313115,9.23528300,0.75313115,0.28042240,0.83557598,6.96758700,15.05430200,-0.65534246,1.03028953,49,8
q001,doc006_p003,5,9.28121700,10,0.73821187,9.28121700,0.73821187,0.28610258,0.82672513,6.96758700,15.05430200,-0.65534246,1.03028953,49,8
q001,doc006_p009,7,7.66040700,11,0.66729248,7.66040700,0.66729248,0.08567385,0.78465225,6.96758700,15.05430200,-0.65534246,1.03028953,49,8
q001,doc006_p019,1,15.05430200,12,0.62178946,15.05430200,0.62178946,1.00000000,0.75765761,6.96758700,15.05430200,-0.65534246,1.03028953,49,8
q001,doc005_p009,9,7.45509900,13,0.41748706,7.45509900,0.41748706,0.06028554,0.63645536,6.96758700,15.05430200,-0.65534246,1.03028953,49,8
q001,doc005_p006,19,6.97912500,14,0.38475114,6.97912500,0.38475114,0.00142678,0.61703480,6.96758700,15.05430200,-0.65534246,1.03028953,49,8
q001,doc001_p001,2,13.69148500,15,0.20652863,13.69148500,0.20652863,0.83147458,0.51130442,6.96758700,15.05430200,-0.65534246,1.03028953,49,8
q001,doc001_p002,15,7.07261200,16,0.06462049,7.07261200,0.06462049,0.01298735,0.42711751,6.96758700,15.05430200,-0.65534246,1.03028953,49,8
q001,doc010_p001,14,7.13687100,17,-0.11574204,7.13687100,-0.11574204,0.02093359,0.32011757,6.96758700,15.05430200,-0.65534246,1.03028953,49,8
q001,doc001_p005,11,7.20829400,18,-0.20162080,7.20829400,-0.20162080,0.02976573,0.26917006,6.96758700,15.05430200,-0.65534246,1.03028953,49,8
q001,doc002_p001,10,7.24297300,19,-0.21654096,7.24297300,-0.21654096,0.03405412,0.26031868,6.96758700,15.05430200,-0.65534246,1.03028953,49,8
q001,doc001_p004,4,9.66284400,20,-0.65534246,9.66284400,-0.65534246,0.33329442,0.00000000,6.96758700,15.05430200,-0.65534246,1.03028953,49,8
q002,doc006_p013,4,8.99068500,1,-0.05786718,8.99068500,-0.05786718,0.42807674,0.99999999,5.60572000,13.51309900,-1.10103631,-0.05786718,49,8
q002,doc004_p019,18,6.10186400,2,-0.06387149,6.10186400,-0.06387149,0.06274443,0.99424415,5.60572000,13.51309900,-1.10103631,-0.05786718,49,8
q002,doc004_p003,16,6.21405800,3,-0.11721747,6.21405800,-0.11721747,0.07693295,0.94310577,5.60572000,13.51309900,-1.10103631,-0.05786718,49,8
q002,doc004_p010,19,5.60657400,4,-0.12534261,5.60657400,-0.12534261,0.00010800,0.93531687,5.60572000,13.51309900,-1.10103631,-0.05786718,49,8
q002,doc009_p003,9,7.03525500,5,-0.13392670,7.03525500,-0.13392670,0.18078493,0.92708802,5.60572000,13.51309900,-1.10103631,-0.05786718,49,8
q002,doc001_p002,2,11.74635400,6,-0.19809480,11.74635400,-0.19809480,0.77657009,0.86557537,5.60572000,13.51309900,-1.10103631,-0.05786718,49,8
q002,doc006_p016,11,6.96758700,7,-0.20797996,6.96758700,-0.20797996,0.17222736,0.85609928,5.60572000,13.51309900,-1.10103631,-0.05786718,49,8
q002,doc006_p002,15,6.29075800,8,-0.21703693,6.29075800,-0.21703693,0.08663275,0.84741711,5.60572000,13.51309900,-1.10103631,-0.05786718,49,8
q002,doc010_p002,10,7.00748000,9,-0.24897414,7.00748000,-0.24897414,0.17727239,0.81680155,5.60572000,13.51309900,-1.10103631,-0.05786718,49,8
q002,doc006_p003,8,7.42036200,10,-0.25792173,7.42036200,-0.25792173,0.22948717,0.80822423,5.60572000,13.51309900,-1.10103631,-0.05786718,49,8
q002,doc003_p003,12,6.81874500,11,-0.30816683,6.81874500,-0.30816683,0.15340418,0.76005841,5.60572000,13.51309900,-1.10103631,-0.05786718,49,8
q002,doc005_p009,7,7.45509900,12,-0.46999529,7.45509900,-0.46999529,0.23388015,0.60492685,5.60572000,13.51309900,-1.10103631,-0.05786718,49,8
q002,doc006_p009,6,7.66040700,13,-0.52091718,7.66040700,-0.52091718,0.25984425,0.55611224,5.60572000,13.51309900,-1.10103631,-0.05786718,49,8
q002,doc006_p019,3,10.97743200,14,-0.58251709,10.97743200,-0.58251709,0.67932902,0.49706150,5.60572000,13.51309900,-1.10103631,-0.05786718,49,8
q002,doc006_p006,13,6.74361900,15,-0.58417296,6.74361900,-0.58417296,0.14390343,0.49547416,5.60572000,13.51309900,-1.10103631,-0.05786718,49,8
q002,doc004_p014,14,6.51815400,16,-0.69510388,6.51815400,-0.69510388,0.11539019,0.38913386,5.60572000,13.51309900,-1.10103631,-0.05786718,49,8
q002,doc007_p002,20,5.60572000,17,-0.77728808,5.60572000,-0.77728808,0.00000000,0.31035066,5.60572000,13.51309900,-1.10103631,-0.05786718,49,8
q002,doc001_p001,1,13.51309900,18,-0.79774874,13.51309900,-0.79774874,1.00000000,0.29073672,5.60572000,13.51309900,-1.10103631,-0.05786718,49,8
q002,doc002_p001,17,6.19127200,19,-0.82432836,6.19127200,-0.82432836,0.07405134,0.26525703,5.60572000,13.51309900,-1.10103631,-0.05786718,49,8
q002,doc001_p005,5,8.43588400,20,-1.10103631,8.43588400,-1.10103631,0.35791430,0.00000000,5.60572000,13.51309900,-1.10103631,-0.05786718,49,8
q003,doc006_p013,5,8.60126400,1,-0.25322777,8.60126400,-0.25322777,0.44243783,0.99999999,5.26706400,12.80303800,-1.37812757,-0.25322777,49,8
q003,doc004_p010,9,7.24552500,2,-0.27167207,7.24552500,-0.27167207,0.26253554,0.98360360,5.26706400,12.80303800,-1.37812757,-0.25322777,49,8
q003,doc010_p002,14,5.66062600,3,-0.32946813,5.66062600,-0.32946813,0.05222444,0.93222475,5.26706400,12.80303800,-1.37812757,-0.25322777,49,8
q003,doc006_p016,19,5.29084000,4,-0.33417401,5.29084000,-0.33417401,0.00315500,0.92804137,5.26706400,12.80303800,-1.37812757,-0.25322777,49,8
q003,doc003_p004,13,5.91425700,5,-0.40362024,5.91425700,-0.40362024,0.08588047,0.86630589,5.26706400,12.80303800,-1.37812757,-0.25322777,49,8
q003,doc005_p004,10,7.19721400,6,-0.41279766,7.19721400,-0.41279766,0.25612482,0.85814746,5.26706400,12.80303800,-1.37812757,-0.25322777,49,8
q003,doc005_p003,17,5.37165000,7,-0.42915517,5.37165000,-0.42915517,0.01387823,0.84360615,5.26706400,12.80303800,-1.37812757,-0.25322777,49,8
q003,doc005_p002,12,6.18009500,8,-0.44805199,6.18009500,-0.44805199,0.12115634,0.82680748,5.26706400,12.80303800,-1.37812757,-0.25322777,49,8
q003,doc005_p001,6,8.49916200,9,-0.45424610,8.49916200,-0.45424610,0.42888922,0.82130112,5.26706400,12.80303800,-1.37812757,-0.25322777,49,8
q003,doc004_p015,20,5.26706400,10,-0.46337292,5.26706400,-0.46337292,0.00000000,0.81318767,5.26706400,12.80303800,-1.37812757,-0.25322777,49,8
q003,doc006_p005,16,5.41287100,11,-0.56439525,5.41287100,-0.56439525,0.01934813,0.72338204,5.26706400,12.80303800,-1.37812757,-0.25322777,49,8
q003,doc006_p009,7,7.66040700,12,-0.59122491,7.66040700,-0.59122491,0.31758907,0.69953133,5.26706400,12.80303800,-1.37812757,-0.25322777,49,8
q003,doc005_p006,11,7.09094600,13,-0.63824296,7.09094600,-0.63824296,0.24202339,0.65773379,5.26706400,12.80303800,-1.37812757,-0.25322777,49,8
q003,doc006_p006,18,5.37004500,14,-0.65074116,5.37004500,-0.65074116,0.01366525,0.64662328,5.26706400,12.80303800,-1.37812757,-0.25322777,49,8
q003,doc006_p011,4,8.79135200,15,-0.65762854,8.79135200,-0.65762854,0.46766191,0.64050062,5.26706400,12.80303800,-1.37812757,-0.25322777,49,8
q003,doc005_p009,8,7.30062400,16,-0.73271757,7.30062400,-0.73271757,0.26984700,0.57374887,5.26706400,12.80303800,-1.37812757,-0.25322777,49,8
q003,doc006_p019,2,10.99652200,17,-0.81855762,10.99652200,-0.81855762,0.76028102,0.49743981,5.26706400,12.80303800,-1.37812757,-0.25322777,49,8
q003,doc002_p001,1,12.80303800,18,-0.95730698,12.80303800,-0.95730698,1.00000000,0.37409606,5.26706400,12.80303800,-1.37812757,-0.25322777,49,8
q003,doc007_p002,3,9.36951200,19,-0.95989537,9.36951200,-0.95989537,0.54438192,0.37179507,5.26706400,12.80303800,-1.37812757,-0.25322777,49,8
q003,doc001_p004,15,5.44353600,20,-1.37812757,5.44353600,-1.37812757,0.02341728,0.00000000,5.26706400,12.80303800,-1.37812757,-0.25322777,49,8
q004,doc006_p008,20,8.45214500,1,0.58182150,8.45214500,0.58182150,0.00000000,0.99999999,8.45214500,22.94494800,-0.54682803,0.58182150,49,8
q004,doc004_p010,5,9.55820400,2,0.55304331,9.55820400,0.55304331,0.07631781,0.97450209,8.45214500,22.94494800,-0.54682803,0.58182150,49,8
q004,doc005_p004,4,9.72703000,3,0.53353667,9.72703000,0.53353667,0.08796677,0.95721893,8.45214500,22.94494800,-0.54682803,0.58182150,49,8
q004,doc006_p013,7,9.39821500,4,0.51568222,9.39821500,0.51568222,0.06527861,0.94139962,8.45214500,22.94494800,-0.54682803,0.58182150,49,8
q004,doc003_p004,11,9.24970700,5,0.50534761,9.24970700,0.50534761,0.05503159,0.93224301,8.45214500,22.94494800,-0.54682803,0.58182150,49,8
q004,doc004_p019,13,9.16508000,6,0.46919090,9.16508000,0.46919090,0.04919235,0.90020763,8.45214500,22.94494800,-0.54682803,0.58182150,49,8
q004,doc004_p003,19,8.51551100,7,0.45566273,8.51551100,0.45566273,0.00437224,0.88822148,8.45214500,22.94494800,-0.54682803,0.58182150,49,8
q004,doc006_p016,18,8.65834300,8,0.43060720,8.65834300,0.43060720,0.01422761,0.86602191,8.45214500,22.94494800,-0.54682803,0.58182150,49,8
q004,doc003_p028,16,8.81521000,9,0.40871394,8.81521000,0.40871394,0.02505140,0.84662416,8.45214500,22.94494800,-0.54682803,0.58182150,49,8
q004,doc007_p001,12,9.24594900,10,0.33939493,9.24594900,0.33939493,0.05477229,0.78520650,8.45214500,22.94494800,-0.54682803,0.58182150,49,8
q004,doc006_p003,3,11.00130000,11,0.28150511,11.00130000,0.28150511,0.17589110,0.73391528,8.45214500,22.94494800,-0.54682803,0.58182150,49,8
q004,doc006_p005,15,8.90949000,12,0.26164818,8.90949000,0.26164818,0.03155670,0.71632175,8.45214500,22.94494800,-0.54682803,0.58182150,49,8
q004,doc006_p014,6,9.48878600,13,0.24356890,9.48878600,0.24356890,0.07152799,0.70030324,8.45214500,22.94494800,-0.54682803,0.58182150,49,8
q004,doc006_p026,10,9.30672600,14,0.15056546,9.30672600,0.15056546,0.05896589,0.61790083,8.45214500,22.94494800,-0.54682803,0.58182150,49,8
q004,doc006_p019,2,14.14775100,15,0.10301212,14.14775100,0.10301212,0.39299547,0.57576788,8.45214500,22.94494800,-0.54682803,0.58182150,49,8
q004,doc005_p009,14,9.10872000,16,0.10299279,9.10872000,0.10299279,0.04530352,0.57575075,8.45214500,22.94494800,-0.54682803,0.58182150,49,8
q004,doc005_p006,9,9.37516900,17,-0.02044449,9.37516900,-0.02044449,0.06368844,0.46638352,8.45214500,22.94494800,-0.54682803,0.58182150,49,8
q004,doc004_p014,17,8.77428200,18,-0.27140352,8.77428200,-0.27140352,0.02222738,0.24403014,8.45214500,22.94494800,-0.54682803,0.58182150,49,8
q004,doc010_p001,8,9.37579000,19,-0.38156408,9.37579000,-0.38156408,0.06373129,0.14642628,8.45214500,22.94494800,-0.54682803,0.58182150,49,8
q004,doc001_p004,1,22.94494800,20,-0.54682803,22.94494800,-0.54682803,1.00000000,0.00000000,8.45214500,22.94494800,-0.54682803,0.58182150,49,8
q005,doc006_p013,3,8.82913600,1,0.09750387,8.82913600,0.09750387,0.50442512,0.99999999,5.36289200,12.23456400,-0.59342515,0.09750387,49,8
