query_id,page_id,coarse_rank,coarse_score,fine_rank,fine_score,bm25_score_raw,mv_score_raw,bm25_score_norm,mv_score_norm,query_bm25_min,query_bm25_max,query_mv_min,query_mv_max,page_tokens_before,page_tokens_after
q001,doc004_p019,16,7.05589500,1,1.03028965,7.05589500,1.03028965,0.01092013,0.99999999,6.96758700,15.05430200,-0.08686033,1.03028965,49,16
q001,doc006_p013,3,11.74067500,2,0.95624828,11.74067500,0.95624828,0.59023819,0.93372297,6.96758700,15.05430200,-0.08686033,1.03028965,49,16
q001,doc009_p003,17,7.03525500,3,0.94548434,7.03525500,0.94548434,0.00836780,0.92408779,6.96758700,15.05430200,-0.08686033,1.03028965,49,16
q001,doc003_p004,8,7.48106200,4,0.91370273,7.48106200,0.91370273,0.06349612,0.89563896,6.96758700,15.05430200,-0.08686033,1.03028965,49,16
q001,doc006_p016,20,6.96758700,5,0.86245948,6.96758700,0.86245948,0.00000000,0.84976934,6.96758700,15.05430200,-0.08686033,1.03028965,49,16
q001,doc010_p002,18,7.00748000,6,0.82680643,7.00748000,0.82680643,0.00493315,0.81785505,6.96758700,15.05430200,-0.08686033,1.03028965,49,16
q001,doc005_p004,13,7.16875400,7,0.80362451,7.16875400,0.80362451,0.02487623,0.79710410,6.96758700,15.05430200,-0.08686033,1.03028965,49,16
q001,doc007_p001,12,7.18752500,8,0.80232751,7.18752500,0.80232751,0.02719745,0.79594311,6.96758700,15.05430200,-0.08686033,1.03028965,49,16
q001,doc005_p006,19,6.97912500,9,0.79128146,6.97912500,0.79128146,0.00142678,0.78605541,6.96758700,15.05430200,-0.08686033,1.03028965,49,16
q001,doc006_p009,7,7.66040700,10,0.77192104,7.66040700,0.77192104,0.08567385,0.76872522,6.96758700,15.05430200,-0.08686033,1.03028965,49,16
q001,doc003_p003,6,9.23528300,11,0.75313109,9.23528300,0.75313109,0.28042240,0.75190568,6.96758700,15.05430200,-0.08686033,1.03028965,49,16
q001,doc006_p003,5,9.28121700,12,0.75170130,9.28121700,0.75170130,0.28610258,0.75062582,6.96758700,15.05430200,-0.08686033,1.03028965,49,16
q001,doc006_p019,1,15.05430200,13,0.64832550,15.05430200,0.64832550,1.00000000,0.65809053,6.96758700,15.05430200,-0.08686033,1.03028965,49,16
q001,doc005_p009,9,7.45509900,14,0.49734560,7.45509900,0.49734560,0.06028554,0.52294315,6.96758700,15.05430200,-0.08686033,1.03028965,49,16
q001,doc001_p002,15,7.07261200,15,0.34494674,7.07261200,0.34494674,0.01298735,0.38652560,6.96758700,15.05430200,-0.08686033,1.03028965,49,16
q001,doc001_p001,2,13.69148500,16,0.20652869,13.69148500,0.20652869,0.83147458,0.26262277,6.96758700,15.05430200,-0.08686033,1.03028965,49,16
q001,doc001_p005,11,7.20829400,17,-0.00767044,7.20829400,-0.00767044,0.02976573,0.07088564,6.96758700,15.05430200,-0.08686033,1.03028965,49,16
q001,doc010_p001,14,7.13687100,18,-0.04190947,7.13687100,-0.04190947,0.02093359,0.04023709,6.96758700,15.05430200,-0.08686033,1.03028965,49,16
q001,doc001_p004,4,9.66284400,19,-0.06753711,9.66284400,-0.06753711,0.33329442,0.01729689,6.96758700,15.05430200,-0.08686033,1.03028965,49,16
q001,doc002_p001,10,7.24297300,20,-0.08686033,7.24297300,-0.08686033,0.03405412,0.00000000,6.96758700,15.05430200,-0.08686033,1.03028965,49,16
q002,doc004_p003,16,6.21405800,1,-0.05442091,6.21405800,-0.05442091,0.07693295,0.99999999,5.60572000,13.51309900,-0.84669155,-0.05442091,49,16
q002,doc006_p013,4,8.99068500,2,-0.05786713,8.99068500,-0.05786713,0.42807674,0.99565019,5.60572000,13.51309900,-0.84669155,-0.05442091,49,16
