query_id,page_id,coarse_rank,coarse_score,fine_rank,fine_score,bm25_score_raw,mv_score_raw,bm25_score_norm,mv_score_norm,query_bm25_min,query_bm25_max,query_mv_min,query_mv_max
q001,doc003_p012,73,0.00000000,1,1.62791789,0.00000000,1.62791789,0.00000000,0.99999999,0.00000000,15.05430200,0.21166092,1.62791789
q001,doc004_p019,16,7.05589500,2,1.23282230,7.05589500,1.23282230,0.46869626,0.72102831,0.00000000,15.05430200,0.21166092,1.62791789
q001,doc006_p008,36,5.43510700,3,1.07069719,5.43510700,1.07069719,0.36103348,0.60655395,0.00000000,15.05430200,0.21166092,1.62791789
q001,doc003_p028,38,5.02680900,4,1.07011628,5.02680900,1.07011628,0.33391179,0.60614378,0.00000000,15.05430200,0.21166092,1.62791789
q001,doc003_p006,67,1.18587600,5,1.06387115,1.18587600,1.06387115,0.07877323,0.60173418,0.00000000,15.05430200,0.21166092,1.62791789
q001,doc004_p015,26,6.32265300,6,1.05938816,6.32265300,1.05938816,0.41998978,0.59856880,0.00000000,15.05430200,0.21166092,1.62791789
q001,doc003_p013,74,0.00000000,7,1.05518103,0.00000000,1.05518103,0.00000000,0.59559820,0.00000000,15.05430200,0.21166092,1.62791789
q001,doc004_p016,42,4.56373600,8,1.03367424,4.56373600,1.03367424,0.30315162,0.58041255,0.00000000,15.05430200,0.21166092,1.62791789
q001,doc006_p013,3,11.74067500,9,1.03309250,11.74067500,1.03309250,0.77988837,0.58000179,0.00000000,15.05430200,0.21166092,1.62791789
q001,doc006_p002,27,6.29075800,10,1.02268279,6.29075800,1.02268279,0.41787112,0.57265163,0.00000000,15.05430200,0.21166092,1.62791789
q001,doc003_p004,8,7.48106200,11,1.01229644,7.48106200,1.01229644,0.49693848,0.56531797,0.00000000,15.05430200,0.21166092,1.62791789
q001,doc003_p002,70,0.00000000,12,1.00672638,0.00000000,1.00672638,0.00000000,0.56138502,0.00000000,15.05430200,0.21166092,1.62791789
q001,doc004_p003,28,6.21405800,13,1.00560760,6.21405800,1.00560760,0.41277623,0.56059507,0.00000000,15.05430200,0.21166092,1.62791789
q001,doc004_p002,65,1.33257300,14,0.99647433,1.33257300,0.99647433,0.08851775,0.55414619,0.00000000,15.05430200,0.21166092,1.62791789
q001,doc001_p002,15,7.07261200,15,0.99378622,7.07261200,0.99378622,0.46980670,0.55224815,0.00000000,15.05430200,0.21166092,1.62791789
q001,doc006_p017,58,1.57139100,16,0.99268728,1.57139100,0.99268728,0.10438152,0.55147221,0.00000000,15.05430200,0.21166092,1.62791789
q001,doc004_p012,61,1.43393500,17,0.98961878,1.43393500,0.98961878,0.09525085,0.54930558,0.00000000,15.05430200,0.21166092,1.62791789
q001,doc009_p003,17,7.03525500,18,0.98625076,7.03525500,0.98625076,0.46732522,0.54692747,0.00000000,15.05430200,0.21166092,1.62791789
q001,doc004_p005,48,3.10327600,19,0.98230082,3.10327600,0.98230082,0.20613882,0.54413847,0.00000000,15.05430200,0.21166092,1.62791789
q001,doc006_p016,20,6.96758700,20,0.98228097,6.96758700,0.98228097,0.46283029,0.54412445,0.00000000,15.05430200,0.21166092,1.62791789
q001,doc006_p019,1,15.05430200,21,0.97452557,15.05430200,0.97452557,1.00000000,0.53864847,0.00000000,15.05430200,0.21166092,1.62791789
q001,doc004_p001,55,1.83927500,22,0.97122431,1.83927500,0.97122431,0.12217604,0.53631749,0.00000000,15.05430200,0.21166092,1.62791789
q001,doc005_p009,9,7.45509900,23,0.97065830,7.45509900,0.97065830,0.49521386,0.53591784,0.00000000,15.05430200,0.21166092,1.62791789
q001,doc005_p003,37,5.37841300,24,0.96944505,5.37841300,0.96944505,0.35726751,0.53506118,0.00000000,15.05430200,0.21166092,1.62791789
q001,doc005_p006,19,6.97912500,25,0.96540755,6.97912500,0.96540755,0.46359672,0.53221035,0.00000000,15.05430200,0.21166092,1.62791789
q001,doc003_p021,31,5.85077200,26,0.96106029,5.85077200,0.96106029,0.38864452,0.52914081,0.00000000,15.05430200,0.21166092,1.62791789
q001,doc004_p011,60,1.43940900,27,0.95952690,1.43940900,0.95952690,0.09561446,0.52805811,0.00000000,15.05430200,0.21166092,1.62791789
q001,doc004_p018,46,3.89828100,28,0.95653301,3.89828100,0.95653301,0.25894797,0.52594416,0.00000000,15.05430200,0.21166092,1.62791789
q001,doc004_p010,33,5.60657400,29,0.95355850,5.60657400,0.95355850,0.37242338,0.52384390,0.00000000,15.05430200,0.21166092,1.62791789
q001,doc004_p006,64,1.36144400,30,0.94669122,1.36144400,0.94669122,0.09043554,0.51899501,0.00000000,15.05430200,0.21166092,1.62791789
