query_id,page_id,coarse_rank,coarse_score,fine_rank,fine_score,bm25_score_raw,mv_score_raw,bm25_score_norm,mv_score_norm,query_bm25_min,query_bm25_max,query_mv_min,query_mv_max
q001,doc006_p013,3,11.74067500,1,1.03309250,11.74067500,1.03309250,0.57579216,0.99999999,7.24297300,15.05430200,0.33672112,1.03309250
q001,doc003_p004,8,7.48106200,2,1.01229644,7.48106200,1.01229644,0.03047996,0.97013652,7.24297300,15.05430200,0.33672112,1.03309250
q001,doc006_p019,1,15.05430200,3,0.97452557,15.05430200,0.97452557,1.00000000,0.91589698,7.24297300,15.05430200,0.33672112,1.03309250
q001,doc005_p009,9,7.45509900,4,0.97065830,7.45509900,0.97065830,0.02715620,0.91034352,7.24297300,15.05430200,0.33672112,1.03309250
q001,doc003_p003,6,9.23528300,5,0.91428292,9.23528300,0.91428292,0.25505391,0.82938761,7.24297300,15.05430200,0.33672112,1.03309250
q001,doc006_p009,7,7.66040700,6,0.90707636,7.66040700,0.90707636,0.05343956,0.81903888,7.24297300,15.05430200,0.33672112,1.03309250
q001,doc006_p003,5,9.28121700,7,0.81212556,9.28121700,0.81212556,0.26093434,0.68268807,7.24297300,15.05430200,0.33672112,1.03309250
q001,doc001_p004,4,9.66284400,8,0.77127963,9.66284400,0.77127963,0.30978992,0.62403269,7.24297300,15.05430200,0.33672112,1.03309250
q001,doc002_p001,10,7.24297300,9,0.57416475,7.24297300,0.57416475,0.00000000,0.34097270,7.24297300,15.05430200,0.33672112,1.03309250
q001,doc001_p001,2,13.69148500,10,0.33672112,13.69148500,0.33672112,0.82553327,0.00000000,7.24297300,15.05430200,0.33672112,1.03309250
q002,doc001_p002,2,11.74635400,1,0.50915086,11.74635400,0.50915086,0.72842784,0.99999999,7.00748000,13.51309900,-0.58200812,0.50915086
q002,doc006_p013,4,8.99068500,2,0.20099561,8.99068500,0.20099561,0.30484493,0.71758904,7.00748000,13.51309900,-0.58200812,0.50915086
q002,doc006_p019,3,10.97743200,3,0.15394033,10.97743200,0.15394033,0.61023432,0.67446491,7.00748000,13.51309900,-0.58200812,0.50915086
q002,doc009_p003,9,7.03525500,4,-0.10809001,7.03525500,-0.10809001,0.00426939,0.43432544,7.00748000,13.51309900,-0.58200812,0.50915086
q002,doc006_p009,6,7.66040700,5,-0.11119193,7.66040700,-0.11119193,0.10036355,0.43148267,7.00748000,13.51309900,-0.58200812,0.50915086
q002,doc006_p003,8,7.42036200,6,-0.13996091,7.42036200,-0.13996091,0.06346544,0.40511714,7.00748000,13.51309900,-0.58200812,0.50915086
q002,doc005_p009,7,7.45509900,7,-0.16305214,7.45509900,-0.16305214,0.06880498,0.38395503,7.00748000,13.51309900,-0.58200812,0.50915086
q002,doc010_p002,10,7.00748000,8,-0.21370851,7.00748000,-0.21370851,0.00000000,0.33753066,7.00748000,13.51309900,-0.58200812,0.50915086
q002,doc001_p005,5,8.43588400,9,-0.30079967,8.43588400,-0.30079967,0.21956466,0.25771538,7.00748000,13.51309900,-0.58200812,0.50915086
q002,doc001_p001,1,13.51309900,10,-0.58200812,13.51309900,-0.58200812,1.00000000,0.00000000,7.00748000,13.51309900,-0.58200812,0.50915086
q003,doc004_p010,9,7.24552500,1,-0.13141218,7.24552500,-0.13141218,0.00861800,0.99999998,7.19721400,12.80303800,-0.77251554,-0.13141218
q003,doc006_p013,5,8.60126400,2,-0.17107475,8.60126400,-0.17107475,0.25046273,0.93813388,7.19721400,12.80303800,-0.77251554,-0.13141218
q003,doc006_p009,7,7.66040700,3,-0.22645813,7.66040700,-0.22645813,0.08262710,0.85174628,7.19721400,12.80303800,-0.77251554,-0.13141218
q003,doc006_p019,2,10.99652200,4,-0.27072459,10.99652200,-0.27072459,0.67774300,0.78269897,7.19721400,12.80303800,-0.77251554,-0.13141218
q003,doc005_p009,8,7.30062400,5,-0.31239980,7.30062400,-0.31239980,0.01844689,0.71769353,7.19721400,12.80303800,-0.77251554,-0.13141218
