query_id	page_id	rank	score	method
q001	doc006_p008	1	0.5888997316360474	c2f_N10_M16
q001	doc008_p001	2	0.5638575553894043	c2f_N10_M16
q001	doc006_p027	3	0.5371063947677612	c2f_N10_M16
q001	doc006_p019	4	0.5276278853416443	c2f_N10_M16
q001	doc003_p004	5	0.29936593770980835	c2f_N10_M16
q001	doc001_p004	6	0.18695324659347534	c2f_N10_M16
q001	doc001_p001	7	0.11515624821186066	c2f_N10_M16
q001	doc009_p001	8	0.08842457830905914	c2f_N10_M16
q001	doc001_p003	9	-0.054155223071575165	c2f_N10_M16
q001	doc008_p002	10	-0.32475990056991577	c2f_N10_M16
q002	doc001_p002	1	-0.2931387722492218	c2f_N10_M16
q002	doc006_p013	2	-0.4586707055568695	c2f_N10_M16
q002	doc006_p021	3	-0.4693261981010437	c2f_N10_M16
q002	doc003_p022	4	-0.5022385716438293	c2f_N10_M16
q002	doc004_p010	5	-0.5059860944747925	c2f_N10_M16
q002	doc006_p010	6	-0.5468335747718811	c2f_N10_M16
q002	doc006_p012	7	-0.5564224123954773	c2f_N10_M16
q002	doc007_p001	8	-0.6350030303001404	c2f_N10_M16
q002	doc004_p009	9	-0.6592611074447632	c2f_N10_M16
q002	doc006_p020	10	-0.7764177918434143	c2f_N10_M16
q003	doc006_p024	1	-0.39738327264785767	c2f_N10_M16
q003	doc006_p009	2	-0.48102301359176636	c2f_N10_M16
q003	doc004_p007	3	-0.49089041352272034	c2f_N10_M16
q003	doc006_p007	4	-0.526150107383728	c2f_N10_M16
q003	doc006_p008	5	-0.583504319190979	c2f_N10_M16
q003	doc003_p013	6	-0.6414016485214233	c2f_N10_M16
q003	doc007_p001	7	-0.686673641204834	c2f_N10_M16
q003	doc006_p010	8	-0.7273589968681335	c2f_N10_M16
q003	doc001_p004	9	-0.8712755441665649	c2f_N10_M16
q003	doc001_p003	10	-1.0061720609664917	c2f_N10_M16
q004	doc006_p021	1	0.3128131926059723	c2f_N10_M16
q004	doc001_p002	2	0.21780085563659668	c2f_N10_M16
q004	doc007_p002	3	0.172317236661911	c2f_N10_M16
q004	doc006_p013	4	0.044346828013658524	c2f_N10_M16
q004	doc006_p020	5	0.03821604698896408	c2f_N10_M16
q004	doc003_p009	6	0.03672380745410919	c2f_N10_M16
q004	doc007_p001	7	-0.1163163036108017	c2f_N10_M16
q004	doc010_p001	8	-0.24122382700443268	c2f_N10_M16
q004	doc001_p003	9	-0.3128376007080078	c2f_N10_M16
q004	doc001_p004	10	-0.3160448372364044	c2f_N10_M16
q005	doc004_p006	1	-0.03649120777845383	c2f_N10_M16
q005	doc006_p021	2	-0.1281564086675644	c2f_N10_M16
q005	doc004_p012	3	-0.18253204226493835	c2f_N10_M16
q005	doc006_p012	4	-0.1964225023984909	c2f_N10_M16
q005	doc005_p008	5	-0.2376529574394226	c2f_N10_M16
q005	doc006_p010	6	-0.23885643482208252	c2f_N10_M16
q005	doc003_p024	7	-0.30789250135421753	c2f_N10_M16
q005	doc003_p009	8	-0.37552687525749207	c2f_N10_M16
q005	doc005_p002	9	-0.4346616864204407	c2f_N10_M16
q005	doc004_p011	10	-0.5785811543464661	c2f_N10_M16
q006	doc006_p024	1	-0.003037368878722191	c2f_N10_M16
q006	doc004_p012	2	-0.17027251422405243	c2f_N10_M16
q006	doc006_p019	3	-0.25711479783058167	c2f_N10_M16
q006	doc006_p010	4	-0.34889110922813416	c2f_N10_M16
q006	doc006_p013	5	-0.3870766758918762	c2f_N10_M16
q006	doc007_p001	6	-0.4127373695373535	c2f_N10_M16
q006	doc005_p002	7	-0.49512937664985657	c2f_N10_M16
q006	doc001_p004	8	-0.6029508113861084	c2f_N10_M16
q006	doc004_p011	9	-0.7480664253234863	c2f_N10_M16
q006	doc001_p003	10	-0.8122678995132446	c2f_N10_M16
q007	doc006_p019	1	0.16388723254203796	c2f_N10_M16
q007	doc003_p021	2	-0.04227706044912338	c2f_N10_M16
q007	doc006_p008	3	-0.08697669953107834	c2f_N10_M16
q007	doc006_p009	4	-0.11669647693634033	c2f_N10_M16
q007	doc006_p010	5	-0.15029554069042206	c2f_N10_M16
q007	doc003_p004	6	-0.16405674815177917	c2f_N10_M16
q007	doc007_p001	7	-0.23120176792144775	c2f_N10_M16
q007	doc003_p029	8	-0.4537355899810791	c2f_N10_M16
q007	doc001_p004	9	-0.46882468461990356	c2f_N10_M16
q007	doc008_p002	10	-0.6621968746185303	c2f_N10_M16
q008	doc003_p025	1	0.5362346768379211	c2f_N10_M16
q008	doc004_p006	2	0.42912784218788147	c2f_N10_M16
q008	doc004_p013	3	0.2797098457813263	c2f_N10_M16
q008	doc006_p012	4	0.2793120741844177	c2f_N10_M16
q008	doc006_p021	5	0.2019960731267929	c2f_N10_M16
q008	doc006_p010	6	0.09277158975601196	c2f_N10_M16
q008	doc003_p027	7	0.040629468858242035	c2f_N10_M16
q008	doc003_p023	8	0.03898048400878906	c2f_N10_M16
q008	doc003_p024	9	0.028385473415255547	c2f_N10_M16
q008	doc003_p022	10	0.02065233886241913	c2f_N10_M16
q009	doc003_p025	1	0.6235238313674927	c2f_N10_M16
q009	doc004_p006	2	0.5023810863494873	c2f_N10_M16
q009	doc004_p013	3	0.31457000970840454	c2f_N10_M16
q009	doc006_p012	4	0.2914823293685913	c2f_N10_M16
q009	doc006_p010	5	0.13013997673988342	c2f_N10_M16
q009	doc003_p023	6	0.09294526278972626	c2f_N10_M16
q009	doc003_p024	7	0.06940850615501404	c2f_N10_M16
q009	doc003_p027	8	0.06809565424919128	c2f_N10_M16
q009	doc003_p022	9	-0.02324056625366211	c2f_N10_M16
q009	doc005_p008	10	-0.23722074925899506	c2f_N10_M16
q010	doc006_p024	1	0.4045283794403076	c2f_N10_M16
q010	doc003_p013	2	0.3324587643146515	c2f_N10_M16
q010	doc006_p021	3	0.26097753643989563	c2f_N10_M16
q010	doc003_p011	4	0.20519791543483734	c2f_N10_M16
q010	doc004_p018	5	0.16255000233650208	c2f_N10_M16
q010	doc003_p010	6	0.04868407920002937	c2f_N10_M16
q010	doc006_p020	7	0.04492570087313652	c2f_N10_M16
q010	doc004_p012	8	0.03386018052697182	c2f_N10_M16
q010	doc005_p008	9	-0.24120047688484192	c2f_N10_M16
q010	doc005_p002	10	-0.26719072461128235	c2f_N10_M16
q011	doc005_p004	1	0.5132262110710144	c2f_N10_M16
q011	doc006_p021	2	0.21273577213287354	c2f_N10_M16
q011	doc006_p012	3	0.14296585321426392	c2f_N10_M16
q011	doc006_p025	4	0.051664404571056366	c2f_N10_M16
q011	doc006_p022	5	0.04578781872987747	c2f_N10_M16
q011	doc006_p010	6	0.0033968761563301086	c2f_N10_M16
q011	doc006_p020	7	-0.03274217247962952	c2f_N10_M16
q011	doc005_p008	8	-0.2483571320772171	c2f_N10_M16
q011	doc005_p005	9	-0.6186308860778809	c2f_N10_M16
q011	doc001_p003	10	-0.6813644170761108	c2f_N10_M16
q012	doc005_p004	1	0.40375804901123047	c2f_N10_M16
q012	doc004_p018	2	0.18564975261688232	c2f_N10_M16
q012	doc006_p021	3	0.12258559465408325	c2f_N10_M16
q012	doc006_p012	4	0.046195220202207565	c2f_N10_M16
q012	doc006_p025	5	-0.050550445914268494	c2f_N10_M16
q012	doc006_p022	6	-0.058399464935064316	c2f_N10_M16
q012	doc006_p010	7	-0.09889066964387894	c2f_N10_M16
q012	doc006_p020	8	-0.10263039171695709	c2f_N10_M16
q012	doc005_p008	9	-0.3166094422340393	c2f_N10_M16
q012	doc005_p005	10	-0.716735303401947	c2f_N10_M16
q013	doc006_p024	1	0.08175298571586609	c2f_N10_M16
q013	doc005_p004	2	0.05839039385318756	c2f_N10_M16
q013	doc006_p021	3	0.009622819721698761	c2f_N10_M16
q013	doc006_p025	4	-0.03855864331126213	c2f_N10_M16
q013	doc006_p012	5	-0.051506951451301575	c2f_N10_M16
q013	doc007_p002	6	-0.054948050528764725	c2f_N10_M16
q013	doc007_p001	7	-0.1265178620815277	c2f_N10_M16
q013	doc006_p022	8	-0.13482694327831268	c2f_N10_M16
q013	doc010_p002	9	-0.20648103952407837	c2f_N10_M16
