query_id,page_id,rank,score,M,page_tokens
q001,doc006_p008,1,1.0706971883773804,32,32
q001,doc003_p004,2,0.9191044569015503,32,32
q001,doc001_p004,3,0.7712796330451965,32,32
q001,doc006_p019,4,0.7355074286460876,32,32
q001,doc008_p001,5,0.6586029529571533,32,32
q001,doc006_p027,6,0.636865496635437,32,32
q001,doc008_p002,7,0.33149221539497375,32,32
q001,doc001_p001,8,0.22578340768814087,32,32
q001,doc009_p001,9,0.17349150776863098,32,32
q001,doc001_p003,10,0.1347433626651764,32,32
q002,doc006_p013,1,-0.029752645641565323,32,32
q002,doc004_p009,2,-0.06394768506288528,32,32
q002,doc004_p010,3,-0.06461940705776215,32,32
q002,doc001_p002,4,-0.17877477407455444,32,32
q002,doc006_p021,5,-0.20325176417827606,32,32
q002,doc006_p010,6,-0.22431907057762146,32,32
q002,doc003_p022,7,-0.44535037875175476,32,32
q002,doc006_p012,8,-0.5473780632019043,32,32
q002,doc007_p001,9,-0.6321605443954468,32,32
q002,doc006_p020,10,-0.7659493088722229,32,32
q003,doc006_p008,1,-0.1688092052936554,32,32
q003,doc004_p007,2,-0.17023620009422302,32,32
q003,doc006_p024,3,-0.377500057220459,32,32
q003,doc006_p007,4,-0.39961525797843933,32,32
q003,doc006_p009,5,-0.476039856672287,32,32
q003,doc006_p010,6,-0.47642606496810913,32,32
q003,doc001_p004,7,-0.5213465094566345,32,32
q003,doc003_p013,8,-0.5597631335258484,32,32
q003,doc007_p001,9,-0.6838311553001404,32,32
q003,doc001_p003,10,-0.990566074848175,32,32
q004,doc006_p013,1,0.5339415669441223,32,32
q004,doc006_p021,2,0.5032568573951721,32,32
q004,doc007_p002,3,0.37519222497940063,32,32
q004,doc001_p004,4,0.33336880803108215,32,32
q004,doc001_p002,5,0.30809569358825684,32,32
q004,doc003_p009,6,0.21512866020202637,32,32
q004,doc006_p020,7,0.0474625825881958,32,32
q004,doc007_p001,8,-0.07852794229984283,32,32
q004,doc010_p001,9,-0.15525752305984497,32,32
q004,doc001_p003,10,-0.17230938374996185,32,32
q005,doc004_p006,1,0.15322597324848175,32,32
q005,doc004_p011,2,0.1007680669426918,32,32
q005,doc006_p021,3,0.08207888901233673,32,32
q005,doc006_p010,4,-0.02625473402440548,32,32
q005,doc004_p012,5,-0.12624883651733398,32,32
q005,doc005_p002,6,-0.16906186938285828,32,32
q005,doc006_p012,7,-0.18233273923397064,32,32
q005,doc003_p024,8,-0.1997126340866089,32,32
q005,doc005_p008,9,-0.23082804679870605,32,32
q005,doc003_p009,10,-0.25404733419418335,32,32
q006,doc006_p013,1,0.36079806089401245,32,32
q006,doc004_p011,2,0.2982916533946991,32,32
q006,doc006_p010,3,0.1546795517206192,32,32
q006,doc006_p024,4,0.034976132214069366,32,32
q006,doc001_p004,5,-0.026166286319494247,32,32
q006,doc006_p019,6,-0.03958757221698761,32,32
q006,doc004_p012,7,-0.1077362447977066,32,32
q006,doc005_p002,8,-0.1123768538236618,32,32
q006,doc007_p001,9,-0.36078691482543945,32,32
q006,doc001_p003,10,-0.5476574301719666,32,32
q007,doc003_p004,1,0.2567245364189148,32,32
q007,doc006_p008,2,0.24310366809368134,32,32
q007,doc003_p021,3,0.23999613523483276,32,32
q007,doc006_p019,4,0.22800707817077637,32,32
q007,doc006_p010,5,0.19306063652038574,32,32
q007,doc001_p004,6,0.03804267570376396,32,32
q007,doc006_p009,7,-0.10337014496326447,32,32
q007,doc003_p029,8,-0.1452823132276535,32,32
q007,doc007_p001,9,-0.21541139483451843,32,32
q007,doc008_p002,10,-0.26549357175827026,32,32
q008,doc004_p006,1,0.6909862160682678,32,32
q008,doc003_p025,2,0.537238359451294,32,32
q008,doc006_p010,3,0.4389578104019165,32,32
q008,doc006_p021,4,0.4122949540615082,32,32
q008,doc004_p013,5,0.2992173433303833,32,32
q008,doc006_p012,6,0.28854918479919434,32,32
q008,doc003_p024,7,0.20800116658210754,32,32
q008,doc003_p023,8,0.19731740653514862,32,32
q008,doc003_p027,9,0.1696329414844513,32,32
q008,doc003_p022,10,0.12496261298656464,32,32
q009,doc004_p006,1,0.8374688029289246,32,32
q009,doc003_p025,2,0.6235238313674927,32,32
q009,doc006_p010,3,0.5556252002716064,32,32
q009,doc004_p013,4,0.36587005853652954,32,32
q009,doc006_p012,5,0.30339017510414124,32,32
q009,doc003_p024,6,0.3003711700439453,32,32
q009,doc003_p023,7,0.2811394929885864,32,32
q009,doc003_p027,8,0.21762146055698395,32,32
q009,doc003_p022,9,0.13546782732009888,32,32
q009,doc005_p008,10,-0.10511897504329681,32,32
q010,doc006_p024,1,0.47136396169662476,32,32
q010,doc006_p021,2,0.45643603801727295,32,32
q010,doc004_p018,3,0.4284898638725281,32,32
q010,doc003_p013,4,0.40616369247436523,32,32
q010,doc003_p010,5,0.278339684009552,32,32
q010,doc003_p011,6,0.23053324222564697,32,32
q010,doc005_p002,7,0.13996365666389465,32,32
q010,doc004_p012,8,0.0963294506072998,32,32
q010,doc006_p020,9,0.06196798011660576,32,32
q010,doc005_p008,10,-0.1992984116077423,32,32
q011,doc005_p004,1,0.5703592300415039,32,32
q011,doc006_p021,2,0.5143816471099854,32,32
q011,doc005_p005,3,0.4696214199066162,32,32
q011,doc006_p025,4,0.39931291341781616,32,32
q011,doc006_p010,5,0.37593942880630493,32,32
q011,doc006_p012,6,0.20604725182056427,32,32
q011,doc006_p022,7,0.1666090339422226,32,32
q011,doc006_p020,8,0.0218794047832489,32,32
q011,doc005_p008,9,-0.20752358436584473,32,32
q011,doc001_p003,10,-0.4664917290210724,32,32
q012,doc004_p018,1,0.515202522277832,32,32
q012,doc005_p004,2,0.4666711091995239,32,32
q012,doc006_p021,3,0.45600199699401855,32,32
q012,doc005_p005,4,0.3836258351802826,32,32
q012,doc006_p025,5,0.298543781042099,32,32
q012,doc006_p010,6,0.29403766989707947,32,32
q012,doc006_p012,7,0.10201045870780945,32,32
q012,doc006_p022,8,0.06535977125167847,32,32
q012,doc006_p020,9,-0.05153448507189751,32,32
q012,doc005_p008,10,-0.2685030996799469,32,32
q013,doc010_p002,1,0.2625448703765869,32,32
q013,doc006_p021,2,0.23403990268707275,32,32
q013,doc006_p025,3,0.19848844408988953,32,32
q013,doc007_p002,4,0.14598074555397034,32,32
q013,doc006_p024,5,0.12354153394699097,32,32
q013,doc005_p004,6,0.11045683920383453,32,32
q013,doc006_p012,7,-0.0206964910030365,32,32
q013,doc006_p022,8,-0.041054293513298035,32,32
q013,doc007_p001,9,-0.08791178464889526,32,32
q013,doc006_p020,10,-0.2029990404844284,32,32
q014,doc006_p021,1,0.09797831624746323,32,32
q014,doc010_p002,2,0.09723760187625885,32,32
q014,doc006_p010,3,0.07404633611440659,32,32
q014,doc006_p023,4,-0.11862954497337341,32,32
q014,doc005_p004,5,-0.14768105745315552,32,32
q014,doc006_p012,6,-0.21645736694335938,32,32
q014,doc007_p001,7,-0.34656041860580444,32,32
q014,doc006_p020,8,-0.4214949607849121,32,32
q014,doc002_p001,9,-0.5336297750473022,32,32
q014,doc001_p003,10,-0.5806554555892944,32,32
q015,doc005_p005,1,0.4984402060508728,32,32
q015,doc005_p004,2,0.49533072113990784,32,32
q015,doc006_p021,3,0.4910249710083008,32,32
q015,doc003_p006,4,0.39453670382499695,32,32
q015,doc006_p025,5,0.36731812357902527,32,32
q015,doc006_p012,6,0.2014758437871933,32,32
q015,doc006_p022,7,0.06973123550415039,32,32
q015,doc006_p020,8,0.04219191521406174,32,32
q015,doc005_p008,9,-0.29210352897644043,32,32
q015,doc002_p001,10,-0.44411057233810425,32,32
q016,doc006_p021,1,0.501021683216095,32,32
q016,doc005_p005,2,0.4657011330127716,32,32
q016,doc005_p004,3,0.4216330647468567,32,32
q016,doc006_p010,4,0.4093669652938843,32,32
q016,doc006_p025,5,0.3329285979270935,32,32
q016,doc006_p012,6,0.14135372638702393,32,32
q016,doc006_p022,7,0.030864320695400238,32,32
q016,doc006_p020,8,-0.004763245582580566,32,32
q016,doc005_p008,9,-0.34757739305496216,32,32
q016,doc002_p001,10,-0.5298789739608765,32,32
q017,doc006_p013,1,0.5249893665313721,32,32
q017,doc010_p002,2,0.39048177003860474,32,32
q017,doc006_p021,3,0.3540966212749481,32,32
q017,doc006_p025,4,0.3489530086517334,32,32
q017,doc006_p010,5,0.19311577081680298,32,32
q017,doc004_p013,6,0.17465800046920776,32,32
q017,doc006_p012,7,0.09431814402341843,32,32
q017,doc003_p024,8,0.01807650923728943,32,32
q017,doc006_p022,9,-0.04347977787256241,32,32
q017,doc006_p020,10,-0.22019097208976746,32,32
q018,doc004_p018,1,0.7033826112747192,32,32
q018,doc006_p021,2,0.5124050974845886,32,32
q018,doc010_p002,3,0.48900869488716125,32,32
q018,doc006_p025,4,0.38815975189208984,32,32
q018,doc006_p010,5,0.35614970326423645,32,32
q018,doc004_p013,6,0.2653557360172272,32,32
q018,doc006_p012,7,0.16564606130123138,32,32
q018,doc003_p024,8,0.08880838751792908,32,32
q018,doc003_p022,9,-0.14415426552295685,32,32
q018,doc006_p020,10,-0.15553569793701172,32,32
q019,doc003_p025,1,0.5549952387809753,32,32
q019,doc006_p010,2,0.5024561882019043,32,32
q019,doc006_p021,3,0.3614243268966675,32,32
q019,doc005_p004,4,0.361285924911499,32,32
q019,doc004_p013,5,0.2752886414527893,32,32
q019,doc006_p012,6,0.20932036638259888,32,32
q019,doc003_p024,7,0.03325293958187103,32,32
q019,doc003_p022,8,-0.07426485419273376,32,32
q019,doc006_p020,9,-0.09252121299505234,32,32
q019,doc005_p008,10,-0.4474862813949585,32,32
q020,doc003_p006,1,0.549508273601532,32,32
q020,doc005_p004,2,0.5460577011108398,32,32
q020,doc006_p025,3,0.5353938937187195,32,32
q020,doc006_p021,4,0.5200070738792419,32,32
q020,doc005_p005,5,0.5079181790351868,32,32
q020,doc006_p012,6,0.4198567271232605,32,32
q020,doc004_p013,7,0.3820438086986542,32,32
q020,doc003_p024,8,0.32373806834220886,32,32
q020,doc006_p022,9,0.3116456866264343,32,32
q020,doc004_p012,10,0.30627700686454773,32,32
q021,doc003_p006,1,0.4812374711036682,32,32
q021,doc006_p021,2,0.42311492562294006,32,32
q021,doc005_p005,3,0.39222264289855957,32,32
q021,doc006_p025,4,0.3683830499649048,32,32
q021,doc005_p004,5,0.35668838024139404,32,32
q021,doc006_p012,6,0.24830520153045654,32,32
q021,doc004_p012,7,0.11416207253932953,32,32
q021,doc006_p020,8,0.0647866502404213,32,32
q021,doc005_p008,9,-0.23184573650360107,32,32
q021,doc001_p003,10,-0.3106682300567627,32,32
q022,doc004_p006,1,0.36330217123031616,32,32
q022,doc003_p025,2,0.2269933968782425,32,32
q022,doc003_p006,3,0.15093199908733368,32,32
q022,doc005_p004,4,0.08747843652963638,32,32
q022,doc004_p012,5,-0.03908788412809372,32,32
q022,doc003_p024,6,-0.08588378131389618,32,32
q022,doc004_p013,7,-0.09674017131328583,32,32
q022,doc005_p002,8,-0.2056574672460556,32,32
q022,doc003_p022,9,-0.2736428380012512,32,32
q022,doc005_p008,10,-0.33371612429618835,32,32
q023,doc004_p006,1,0.2438051998615265,32,32
q023,doc005_p005,2,0.23664823174476624,32,32
q023,doc003_p025,3,0.14010141789913177,32,32
q023,doc003_p006,4,0.0817861407995224,32,32
q023,doc005_p004,5,-0.006224468350410461,32,32
q023,doc004_p013,6,-0.09185020625591278,32,32
q023,doc003_p024,7,-0.18311229348182678,32,32
q023,doc005_p002,8,-0.3200377821922302,32,32
q023,doc003_p022,9,-0.34118005633354187,32,32
q023,doc005_p008,10,-0.3434959352016449,32,32
q024,doc005_p005,1,0.4068291187286377,32,32
q024,doc003_p006,2,0.3022315204143524,32,32
q024,doc003_p025,3,0.24103692173957825,32,32
q024,doc005_p004,4,0.16157160699367523,32,32
q024,doc006_p010,5,0.06027555093169212,32,32
q024,doc003_p027,6,-0.09041066467761993,32,32
q024,doc004_p013,7,-0.10631558299064636,32,32
q024,doc003_p024,8,-0.15763156116008759,32,32
q024,doc005_p002,9,-0.39371398091316223,32,32
q024,doc003_p022,10,-0.45697155594825745,32,32
q025,doc005_p005,1,0.2834961712360382,32,32
q025,doc003_p006,2,0.2537086009979248,32,32
q025,doc003_p025,3,0.22353462874889374,32,32
q025,doc005_p004,4,0.07750898599624634,32,32
q025,doc006_p010,5,0.03353831171989441,32,32
q025,doc004_p013,6,0.0049231648445129395,32,32
q025,doc006_p012,7,-0.07762899249792099,32,32
q025,doc003_p024,8,-0.07817249745130539,32,32
q025,doc003_p022,9,-0.2811455726623535,32,32
q025,doc005_p002,10,-0.31571483612060547,32,32
q026,doc004_p006,1,0.43653613328933716,32,32
q026,doc005_p005,2,0.38576197624206543,32,32
q026,doc003_p025,3,0.28505760431289673,32,32
q026,doc006_p025,4,0.231161966919899,32,32
q026,doc003_p006,5,0.20318204164505005,32,32
q026,doc005_p004,6,0.14844635128974915,32,32
q026,doc004_p012,7,0.001233525574207306,32,32
q026,doc005_p002,8,-0.19618289172649384,32,32
q026,doc003_p022,9,-0.25309067964553833,32,32
q026,doc005_p008,10,-0.3047854006290436,32,32
q027,doc005_p005,1,0.31868085265159607,32,32
q027,doc004_p006,2,0.3177304267883301,32,32
q027,doc003_p025,3,0.20153629779815674,32,32
q027,doc003_p006,4,0.13948898017406464,32,32
q027,doc005_p004,5,0.055656999349594116,32,32
q027,doc003_p024,6,-0.11177113652229309,32,32
q027,doc004_p013,7,-0.11544904112815857,32,32
q027,doc005_p008,8,-0.300740122795105,32,32
q027,doc005_p002,9,-0.3118855953216553,32,32
q027,doc003_p022,10,-0.3267436623573303,32,32
q028,doc003_p002,1,0.43449142575263977,32,32
q028,doc004_p011,2,0.37917494773864746,32,32
q028,doc006_p010,3,0.3555167317390442,32,32
q028,doc001_p002,4,0.2253355085849762,32,32
q028,doc003_p025,5,0.15457913279533386,32,32
q028,doc001_p004,6,0.12631286680698395,32,32
q028,doc004_p012,7,0.08617303520441055,32,32
q028,doc005_p002,8,0.02128913253545761,32,32
q028,doc003_p024,9,-0.09093895554542542,32,32
q028,doc001_p003,10,-0.5335859656333923,32,32
q029,doc004_p018,1,0.5680189728736877,32,32
q029,doc006_p010,2,0.48851239681243896,32,32
q029,doc004_p013,3,0.41397711634635925,32,32
q029,doc006_p021,4,0.3908260464668274,32,32
q029,doc006_p025,5,0.2428879737854004,32,32
q029,doc006_p024,6,0.1792525053024292,32,32
q029,doc006_p012,7,0.012788504362106323,32,32
q029,doc006_p023,8,-0.026198912411928177,32,32
q029,doc005_p008,9,-0.27686411142349243,32,32
q029,doc006_p020,10,-0.4083211123943329,32,32
q030,doc004_p006,1,0.4437599778175354,32,32
q030,doc005_p004,2,0.3613046407699585,32,32
q030,doc005_p005,3,0.2605939507484436,32,32
q030,doc006_p021,4,0.21221178770065308,32,32
q030,doc006_p025,5,0.1287480592727661,32,32
q030,doc006_p012,6,0.0411296971142292,32,32
q030,doc005_p008,7,-0.11389268934726715,32,32
q030,doc006_p020,8,-0.21268494427204132,32,32
q030,doc002_p001,9,-0.386728435754776,32,32
q030,doc001_p003,10,-0.6236637234687805,32,32
